จำนวนประชากรกลางปี จำแนกตามเพศ ภาค และจังหวัด (จากกระทรวงสาธารณสุข) พ.ศ. 2555-2566 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หน่วย: คน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2555,,,2556,,,2557,,,2558,,,2559,,,2560,,,2561,,,2562,,,2563,,,2564,,,2565,,,2566,,
ภาค,จังหวัด,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง
,นครปฐม,"870,340","417,885","452,455","878,400","421,861","456,539","886,628","425,851","460,777","891,912","428,249","463,663","895,068","429,285","465,783","900,090","431,354","468,736","905,125","433,639","471,486","908,676","435,345","473,331","910,205","436,286","473,919","910,832","436,777","474,055","910,741","436,677","474,064","911,606","436,759","474,847"
,สมุทรสาคร,"503,956","243,507","260,449","514,135","248,445","265,690","525,672","253,970","271,702","527,726","254,454","273,272","526,663","253,397","273,266","533,225","256,412","276,813","540,062","259,599","280,463","546,656","262,612","284,044","550,556","264,266","286,290","551,867","264,593","287,274","554,680","265,598","289,082","559,888","267,804","292,084"
,สมุทรสงคราม,"194,064","93,260","100,804","194,079","93,256","100,823","194,153","93,306","100,847","193,614","93,015","100,599","192,806","92,563","100,243","192,423","92,330","100,093","192,138","92,117","100,021","191,745","91,806","99,939","190,884","91,277","99,607","189,672","90,565","99,107","188,382","89,847","98,535","187,040","89,170","97,870"
,เพชรบุรี,"467,476","226,489","240,987","469,981","227,575","242,406","472,639","228,782","243,857","474,676","229,601","245,075","476,070","230,172","245,898","477,691","230,987","246,704","479,280","231,848","247,432","480,603","232,446","248,157","479,561","231,508","248,053","478,412","230,495","247,917","478,702","230,277","248,425","478,967","230,158","248,809"
,ประจวบคีรีขันธ์,"514,809","257,257","257,552","518,661","258,388","260,273","522,689","259,635","263,054","524,620","259,675","264,945","526,267","259,712","266,555","530,344","261,441","268,903","534,589","263,485","271,104","539,422","266,541","272,881","540,152","266,883","273,269","539,500","265,936","273,564","540,584","266,075","274,509","539,219","263,832","275,387"
ภาคเหนือ,ภาคเหนือ,"11,792,937","5,810,057","5,982,880","11,814,265","5,816,458","5,997,807","11,836,304","5,823,825","6,012,479","11,758,421","5,780,040","5,978,381","11,668,300","5,729,752","5,938,548","11,670,987","5,726,655","5,944,332","11,677,636","5,725,140","5,952,496","11,671,188","5,716,089","5,955,099","11,607,754","5,678,115","5,929,639","11,538,627","5,637,559","5,901,068","11,502,479","5,613,383","5,889,096","11,457,466","5,585,682","5,871,784"
,เชียงใหม่,"1,650,893","804,772","846,121","1,661,265","809,240","852,025","1,672,586","814,190","858,396","1,638,981","795,640","843,341","1,602,699","775,599","827,100","1,610,419","778,314","832,105","1,620,100","782,154","837,946","1,628,164","785,130","843,034","1,629,434","784,437","844,997","1,628,663","782,835","845,828","1,630,307","782,286","848,021","1,632,949","782,220","779,917"
,ลำพูน,"404,313","196,566","207,747","404,971","196,685","208,286","405,368","196,751","208,617","404,933","196,307","208,626","404,096","195,568","208,528","403,614","195,074","208,540","403,330","194,665","208,665","402,764","194,061","208,703","400,710","192,756","207,954","398,627","191,478","207,149","397,303","190,539","206,764","395,884","189,565","241,157"
,ลำปาง,"757,173","372,930","384,243","755,837","372,013","383,824","753,937","370,544","383,393","751,371","368,745","382,626","748,013","366,603","381,410","745,121","364,785","380,336","742,078","362,858","379,220","737,925","360,303","377,622","730,962","356,398","374,564","724,121","352,676","371,445","718,966","349,799","369,167","712,286","346,083","132,017"
,อุตรดิตถ์,"461,167","227,294","233,873","461,144","227,089","234,055","460,698","226,574","234,124","459,582","225,829","233,753","457,976","224,973","233,003","456,630","224,138","232,492","455,211","223,113","232,098","453,187","221,816","231,371","449,841","219,843","229,998","446,349","217,752","228,597","443,428","216,072","227,356","440,154","214,298","217,954"
