id,region,province,sex,value,year
179,กลาง,กาญจนบุรี,ชาย,421454,2556
180,กลาง,สุพรรณบุรี,ชาย,410668,2556
181,กลาง,นครปฐม,ชาย,421861,2556
182,กลาง,สมุทรสาคร,ชาย,248445,2556
183,กลาง,สมุทรสงคราม,ชาย,93256,2556
184,กลาง,เพชรบุรี,ชาย,227575,2556
185,กลาง,ประจวบคีรีขันธ์,ชาย,258388,2556
186,กลาง,สมุทรปราการ,หญิง,639597,2556
187,กลาง,นนทบุรี,หญิง,610019,2556
188,กลาง,ปทุมธานี,หญิง,547631,2556
189,กลาง,พระนครศรีอยุธยา,หญิง,411813,2556
190,กลาง,อ่างทอง,หญิง,147588,2556
191,กลาง,ลพบุรี,หญิง,377551,2556
192,กลาง,สิงห์บุรี,หญิง,111389,2556
193,กลาง,ชัยนาท,หญิง,172315,2556
194,กลาง,สระบุรี,หญิง,316841,2556
195,กลาง,ชลบุรี,หญิง,702106,2556
196,กลาง,ระยอง,หญิง,332496,2556
197,กลาง,จันทบุรี,หญิง,265799,2556
198,กลาง,ตราด,หญิง,111926,2556
199,กลาง,ฉะเชิงเทรา,หญิง,350919,2556
200,กลาง,ปราจีนบุรี,หญิง,239583,2556
201,กลาง,นครนายก,หญิง,129035,2556
202,กลาง,สระแก้ว,หญิง,273441,2556
203,กลาง,ราชบุรี,หญิง,434660,2556
204,กลาง,กาญจนบุรี,หญิง,419121,2556
205,กลาง,สุพรรณบุรี,หญิง,437019,2556
206,กลาง,นครปฐม,หญิง,456539,2556
207,กลาง,สมุทรสาคร,หญิง,265690,2556
208,กลาง,สมุทรสงคราม,หญิง,100823,2556
209,กลาง,เพชรบุรี,หญิง,242406,2556
210,กลาง,ประจวบคีรีขันธ์,หญิง,260273,2556
211,เหนือ,เชียงใหม่,ชาย,809240,2556
212,เหนือ,ลำพูน,ชาย,196685,2556
213,เหนือ,ลำปาง,ชาย,372013,2556
214,เหนือ,อุตรดิตถ์,ชาย,227089,2556
215,เหนือ,แพร่,ชาย,222115,2556
216,เหนือ,น่าน,ชาย,240760,2556
217,เหนือ,พะเยา,ชาย,238319,2556
218,เหนือ,เชียงราย,ชาย,591240,2556
219,เหนือ,แม่ฮ่องสอน,ชาย,125676,2556
220,เหนือ,นครสวรรค์,ชาย,525460,2556
221,เหนือ,อุทัยธานี,ชาย,161876,2556
222,เหนือ,กำแพงเพชร,ชาย,361689,2556
223,เหนือ,ตาก,ชาย,267117,2556
224,เหนือ,สุโขทัย,ชาย,293962,2556
225,เหนือ,พิษณุโลก,ชาย,420272,2556
226,เหนือ,พิจิตร,ชาย,268990,2556
227,เหนือ,เพชรบูรณ์,ชาย,493955,2556
228,เหนือ,เชียงใหม่,หญิง,852025,2556
229,เหนือ,ลำพูน,หญิง,208286,2556
230,เหนือ,ลำปาง,หญิง,383824,2556
231,เหนือ,อุตรดิตถ์,หญิง,234055,2556
232,เหนือ,แพร่,หญิง,234726,2556
233,เหนือ,น่าน,หญิง,237033,2556
234,เหนือ,พะเยา,หญิง,249114,2556
235,เหนือ,เชียงราย,หญิง,611302,2556
236,เหนือ,แม่ฮ่องสอน,หญิง,119777,2556
237,เหนือ,นครสวรรค์,หญิง,547785,2556
238,เหนือ,อุทัยธานี,หญิง,167366,2556
239,เหนือ,กำแพงเพชร,หญิง,366404,2556
240,เหนือ,ตาก,หญิง,262082,2556
241,เหนือ,สุโขทัย,หญิง,308695,2556
242,เหนือ,พิษณุโลก,หญิง,435102,2556
243,เหนือ,พิจิตร,หญิง,280136,2556
244,เหนือ,เพชรบูรณ์,หญิง,500095,2556
245,ตะวันออกเฉียงเหนือ,นครราชสีมา,ชาย,1288013,2556
246,ตะวันออกเฉียงเหนือ,บุรีรัมย์,ชาย,783533,2556
247,ตะวันออกเฉียงเหนือ,สุรินทร์,ชาย,693728,2556
248,ตะวันออกเฉียงเหนือ,ศรีสะเกษ,ชาย,730113,2556
249,ตะวันออกเฉียงเหนือ,อุบลราชธานี,ชาย,919090,2556
250,ตะวันออกเฉียงเหนือ,ยโสธร,ชาย,271028,2556
251,ตะวันออกเฉียงเหนือ,ชัยภูมิ,ชาย,564037,2556
252,ตะวันออกเฉียงเหนือ,อำนาจเจริญ,ชาย,187275,2556
253,ตะวันออกเฉียงเหนือ,บึงกาฬ,ชาย,208881,2556
254,ตะวันออกเฉียงเหนือ,หนองบัวลำภู,ชาย,254257,2556
255,ตะวันออกเฉียงเหนือ,ขอนแก่น,ชาย,880476,2556
256,ตะวันออกเฉียงเหนือ,อุดรธานี,ชาย,778838,2556
257,ตะวันออกเฉียงเหนือ,เลย,ชาย,318344,2556
258,ตะวันออกเฉียงเหนือ,หนองคาย,ชาย,256988,2556
259,ตะวันออกเฉียงเหนือ,มหาสารคาม,ชาย,469169,2556
260,ตะวันออกเฉียงเหนือ,ร้อยเอ็ด,ชาย,652774,2556
261,ตะวันออกเฉียงเหนือ,กาฬสินธุ์,ชาย,490346,2556
262,ตะวันออกเฉียงเหนือ,สกลนคร,ชาย,565531,2556
263,ตะวันออกเฉียงเหนือ,นครพนม,ชาย,354268,2556
264,ตะวันออกเฉียงเหนือ,มุกดาหาร,ชาย,172346,2556
265,ตะวันออกเฉียงเหนือ,นครราชสีมา,หญิง,1317653,2556
266,ตะวันออกเฉียงเหนือ,บุรีรัมย์,หญิง,786557,2556
267,ตะวันออกเฉียงเหนือ,สุรินทร์,หญิง,693507,2556
268,ตะวันออกเฉียงเหนือ,ศรีสะเกษ,หญิง,730086,2556
269,ตะวันออกเฉียงเหนือ,อุบลราชธานี,หญิง,912631,2556
270,ตะวันออกเฉียงเหนือ,ยโสธร,หญิง,269298,2556
271,ตะวันออกเฉียงเหนือ,ชัยภูมิ,หญิง,570342,2556
272,ตะวันออกเฉียงเหนือ,อำนาจเจริญ,หญิง,186821,2556
273,ตะวันออกเฉียงเหนือ,บึงกาฬ,หญิง,205544,2556
274,ตะวันออกเฉียงเหนือ,หนองบัวลำภู,หญิง,251847,2556
275,ตะวันออกเฉียงเหนือ,ขอนแก่น,หญิง,897760,2556
276,ตะวันออกเฉียงเหนือ,อุดรธานี,หญิง,781793,2556
277,ตะวันออกเฉียงเหนือ,เลย,หญิง,312653,2556
278,ตะวันออกเฉียงเหนือ,หนองคาย,หญิง,256703,2556
279,ตะวันออกเฉียงเหนือ,มหาสารคาม,หญิง,481228,2556
280,ตะวันออกเฉียงเหนือ,ร้อยเอ็ด,หญิง,655991,2556
281,ตะวันออกเฉียงเหนือ,กาฬสินธุ์,หญิง,494211,2556
282,ตะวันออกเฉียงเหนือ,สกลนคร,หญิง,566218,2556
283,ตะวันออกเฉียงเหนือ,นครพนม,หญิง,355337,2556
